[00:00:01] 香水対策調査担当者打ち合わせということ
[00:11:27] なってしまうと思いますが、え、そのせい
[00:11:30] の成長具合とあと手持ちのか護の兼を
[00:11:35] 兼ね合いを見ながら、え、なるべく早くに
[00:11:38] 作業開始された方、こういう方は水が上昇
[00:11:42] する前に作業一通りほとんど終えることが
[00:11:45] できておりまして、こういった方々は
[00:11:47] やはり、え、その死だって話は、え、聞か
[00:11:50] なかっわけです。で、その2つ目ですね。
[00:11:53] え、今度、ま、こめのかがないとかって
[00:11:56] いう風に書いてるんですけれども、え、
[00:11:59] ここはあの投資に通して投資上はま、その
[00:12:02] ままかに入れればするんですけれども、
[00:12:05] ちょっと数が足りないなということで投資
[00:12:07] したこれも保険として、ま、確保しておき
[00:12:10] たいっていう中で、え、かてあのか護が
[00:12:13] 細めが持っていないということになって
[00:12:16] そういった場合はどうするかといったこと
[00:12:17] を書いております。で、この場合は、え、
[00:12:20] 裁病機ですね、向こうでいる裁機っていう
[00:12:22] のはいっぱいにあのスカート式の方という
[00:12:25] もので、で、1本が56mの長さあるもの
[00:12:28] なんですけれども、その中に、え、滅った
[00:12:30] 後の最病器にまた違いを戻してやったりだ
[00:12:33] とか、あるいは、え、膨らみを持たした、
[00:12:36] え、玉ねぎところにですね、え、違いを、
[00:12:39] ま、ちっちゃい、細い違いを入れて、それ
[00:12:42] を丸かゴに入れて、え、追加すると、これ
[00:12:45] 噴火間から持ってきた技術なんですけれど
[00:12:47] も、こういったことで対応されておりまし
[00:12:49] た。で、え、その次3つ目書いてるのが、
[00:12:54] え、高内水温が23°上回った時点で作業
[00:12:57] 中南。これはですね、え、前作深の方で朝
[00:13:01] とか夜中ですね、え、作業前に水温内に
[00:13:05] 水温を測って、え、それより、え、23°
[00:13:09] 超えるような構水用の場合は作業中心と
[00:13:12] いう風に決断して、え、皆がまとまって、
[00:13:15] え、か動いておりました。で、多少その中
[00:13:19] でも、ま、作業が遅れてる地区なんかは、
[00:13:22] え、継続して作業を特行したところがあっ
[00:13:25] たんですけれども、その場合はやはり後
[00:13:28] から話を聞くと、え、全部口開けて死んで
[00:13:31] ただとか、え、やはり24°近くまで上昇
[00:13:34] した時に作業してた地区っていうのは先波
[00:13:38] 、え、その兵士が多かったように見られ
[00:13:42] ます。
[00:13:44] で、その次がですね、え、作業3時には、
[00:13:48] え、空中を極力下げて改水かけ流しという
[00:13:51] 話ですけれども、これは、ま、皆さん、え
[00:13:54] 、もちろんやられてる、ピオルからやられ
[00:13:57] てることだと思いますけれども、え、その
[00:14:00] 違いもですね、え、対ず掛け流しの、ま、
[00:14:04] プールっていうか入れ物の中に、え、ザグ
[00:14:06] をか、え、その中に違いを入れて、そこ
[00:14:09] から、え、カゴの中に、え、各器で移して
[00:14:12] いくんですけれども全部使い切ってから次
[00:14:15] の新しい違いを持ってくるというか、え、
[00:14:18] その上に新しいやつを追加していくって
[00:14:20] いう方は取らないでず、え、全部使い切っ
[00:14:23] てから、え、次の新しい治療を持ってくる
[00:14:26] といったな作業を行っておりました。
[00:14:30] で、え、その中の最後ですね、これ、ま、
[00:14:33] 簡単なようで1番難しいかと思うんです
[00:14:35] けれども、かの限り、ま、深い振動、ま、
[00:14:38] 深い方が水温は低いですので、え、
[00:14:41] なるべく深いに下げて、え、水温が下がる
[00:14:46] まで弾末つけようしないと、もう下げた
[00:14:48] ままの状態にするといった、あ、ことを
[00:14:51] やっておりました。これ後でも述べるん
[00:14:53] ですけれども、ま、浮かすのはければ簡単
[00:14:56] にできるけども沈めるのが難しいんだと話
[00:14:58] は、ま、どこでも聞いたんですけれども、
[00:15:01] ま、難しいけどもこれは大事なことだと
[00:15:03] 思います。で、え、次1番最後3ページ目
[00:15:07] になるんですけれども、
[00:15:12] ちょっとこれの方ご覧ください。して、で
[00:15:15] 、その表ですけれども、ま、公水運外を
[00:15:18] 促される状況で考えられる策ということで
[00:15:21] 、ま、消書の中の中で色々、え、こういう
[00:15:25] ことが考えられるんじゃないかっていうの
[00:15:26] をディスクアップしたものです。で、作業
[00:15:29] 項目にその対応だとかあとそれによって
[00:15:32] 考えられる効果、また、え、それを行う
[00:15:35] ことで生じる負担といったものをおかけに
[00:15:38] して、え、表にしてお示ししております。
[00:15:41] で、まず、ま、1番最初、ま、この中で
[00:15:43] 脱出して、え、お話ししていきますけれど
[00:15:45] も、まずは最の投入数を増やすということ
[00:15:49] です。え、これはですね、ま、え、令和6
[00:15:53] 年の最強の時もそうだったんですけれども
[00:15:54] 、試着数が少ない時、もしくは、ま、成長
[00:15:58] が悪くて手取りが1つの袋から取れる数が
[00:16:01] 少ない場合ていった場合も最強の数が
[00:16:04] 多ければそれをカバーするだけの種が
[00:16:07] 取れる可能性は出てきます。ただこれ1番
[00:16:10] の問題はこの増加分追加できるだけの
[00:16:13] 施設きができるかというところでこれが
[00:16:16] ない場合は非常に難しい話になるのかなと
[00:16:19] いう風に思います。で、え、その次が、え
[00:16:23] 、こめの加を使うってことですけれども、
[00:16:26] これは要は、ま、早い時期から、え、作業
[00:16:29] を進めて水温運が上がる前に作業を超える
[00:16:32] ということに、え、これが活用できるかと
[00:16:35] 思います。え、日本海の方でも、え、昔
[00:16:39] まではそのめのカ使ってたけど、今使って
[00:16:41] ないわと接しまったっていう話よく聞かれ
[00:16:44] ました。ただ今後こういった通用の状況
[00:16:47] っていうのは毎年続くという風に考えられ
[00:16:50] ますので、また新たに購入して早くから
[00:16:53] 手かけるしかないかなっていう話はこじて
[00:16:56] 聞いております。で、え、次が、ま、次
[00:17:01] ですね。一応目安は23°としております
[00:17:04] が、まだ22.9°が良くて23.1°が
[00:17:07] 悪いのかってそんなことはないと思うん
[00:17:09] ですが、とりあえずあれですね、その、ま
[00:17:12] 、違いの状態を見てえ、街動が引っ込ん
[00:17:15] でるようなやつがかなり活力に低下してる
[00:17:18] と思うので、そういう時はもう手をかけ
[00:17:20] ないていう風にして、え、なるべくその
[00:17:24] 強が低い状態の時に、え、作業を行える
[00:17:28] ようにしていくのが1番かなと思います。
[00:17:31] で、向こうで、ま、外会から持ってきた
[00:17:34] 違いは他の校内に自時ぶら下げてで、え、
[00:17:38] このの水を引いて作業してたんですけれど
[00:17:41] も、校内の水分というのは、ま、外界と
[00:17:44] 校内の水温がある時は、あの、昼そんなに
[00:17:48] 水差変わんなくて、1番違ったのが長石で
[00:17:52] 変わっておりました。ただ昨は夜の方が
[00:17:54] 涼しい個小説低いので皆さん世中にすごく
[00:17:58] 作業はしてるんですけれどももう朝方の
[00:18:00] うちに作業が上げるような流れになって
[00:18:03] おります。ま、6時とか7時にはもう既に
[00:18:05] 作業を超えているといった状況でした。で
[00:18:09] 、え、次ま、本さんの中に書いてこれ1回
[00:18:13] に持ってくる量をすことですね。に、え、
[00:18:17] 手にたくさん持ってくるとそれだけ、え、
[00:18:20] ま、起きて作業されてることは別ですけど
[00:18:22] も、例えかいところにないことつけてお
[00:18:24] くっていうのもありですし、また置きで
[00:18:26] 作業する場合も長いことを常に桁
[00:18:30] あったかいすぎたりとこに違いがって
[00:18:33] るっていうのもこれまた問題だと思います
[00:18:35] ので、え、なるべくその1つ1つの作業を
[00:18:37] こう短く行っていくってのは必要かなと
[00:18:40] いう風に思います。で、ま、本要正外の話
[00:18:44] になりますと、さっき話したエネルギーの
[00:18:47] 蓄えるようの話になるんですが、やはり
[00:18:50] ぶ止まりの良いカを作るというのが1番。
[00:18:54] そには、ま、色々いい回を作るには資料数
[00:18:57] 減らしたりだとかそういう時間、ま、苦に
[00:18:59] なってくるのかもしれませんが、それだけ
[00:19:02] どだりがいい回を作るとエネルギーって
[00:19:05] いうのも多いと思いますので、そういった
[00:19:08] 、え、個水のストレスとかっていうのにも
[00:19:10] 耐えられる可能性が出てくるのかなという
[00:19:12] 風に思います。で、一番下に書いたのが
[00:19:16] 水温です。あの、売ってきるだけ深い水に
[00:19:19] 沈めて、え、低い水の水のところに、ま、
[00:19:23] ふら下げてあげるという話ですが、え、
[00:19:26] これまたですね、外ですと、ま、深い方が
[00:19:31] 涼しいという
[00:19:33] 冷たい水だっていうのは、ま、あるんです
[00:19:36] けれども、内の話になりますと、そちらに
[00:19:40] 違きましてはやっぱ夏場金酸素っていうの
[00:19:44] が
[00:19:46] でき来てしまいますので深く下げれもそこ
[00:19:49] に下げるわけにもいかないといった問題も
[00:19:52] 生じるかと思いますのでなかなか
[00:19:57] できるできないって話はありますが
[00:19:59] なるべくいじらない
[00:20:03] の高い時に時に上に上げて様子見るだとか
[00:20:06] なしないで、え、同じ一定のところで下げ
[00:20:09] て、え、やるっていうのが大丈夫、あ、
[00:20:12] 大事じゃないのかなという風に思います。
[00:20:15] 長くなってしまっすけども私から
[00:20:19] ありがとうございました。
[00:20:21] ます。え、何かあの、え、質問等、え、
[00:20:25] ありますでしょうか?
[00:20:37] 去年も、えっと、言ったように、ま、傾向
[00:20:40] と言いますか、あの、最初の水温が上がる
[00:20:43] 前に、え、早めに手をかけた人の方が
[00:20:46] 良かったっていう傾向はあったかなという
[00:20:49] 風には思うんですけどもま、先行して他の
[00:20:52] 地区では、あ、そういうことで、え、
[00:20:54] 取り組みをされているということなんです
[00:20:56] けども、ま、あの、サでも、え、ま、いっ
[00:21:00] たような、あ、状況なのかなという風には
[00:21:03] 思います。
[00:21:05] 何か、あ、質問
[00:21:10] 、
[00:21:12] あ、すいません。はい。え、さっき水温高
[00:21:17] いって言ってましたけど、感覚的に去年
[00:21:20] よりは低いよとするんですけど、え、
[00:21:25] やっぱサロマコは交通会の水にすごい
[00:21:30] もう会ったにもできないんですけど、
[00:21:35] やっぱおつ会20°ぐらいだったらカタ
[00:21:38] カタロマこ23°ぐらいでもまだまだあの
[00:21:42] ね、水
[00:21:43] 時間にあるかなってそんなに心配にはならないですけど毎回
[00:21:48] 23
[00:21:49] 度以上になったのもお手上げだなていうね。うん。
[00:21:53] そうですね。そしたらちょっとえっと大会の水温なんですけど、えっと気象庁のホームページま、あの検索で気象庁のホームページだくとあのトップページがこう出てくるんですよ。
[00:22:11] その中であの各種データの資料っていうの
[00:22:14] があって、え、ちょっとしていくとここに
[00:22:18] あの海洋の、え、海水温、え、海流って
[00:22:22] いうのがあります。で、ここをま、見て
[00:22:25] いただくと、え、日本、ま、前道というか
[00:22:28] 、まあ、近海の、え、海水音が、あ、今の
[00:22:32] 回水音が、ま、分かります。で、その中で
[00:22:35] 今北海道のところを、ま、クローズアップ
[00:22:39] をしていくと、え、今、え、今の水温
[00:22:44] そして、えっと、ちょっと下に行くと、え
[00:22:47] 、平年というのが、これ、あの、さっき見
[00:22:51] てもらった感じです。で、これを、え、
[00:22:55] 予想図っていうのを出しますと、え、今、
[00:23:00] え、17日現在の、あ、16日の状況に
[00:23:04] 基づく予想ということでも、これを
[00:23:07] どんどんどんどん進めていくと、
[00:23:11] えっと、もう今ここで20°の線ですね。
[00:23:17] で、それがあ、8月の1番さ、あの、先の
[00:23:21] あれを見ると8月15日、ま、お盆の頃に
[00:23:26] なれば、え、20°
[00:23:29] 21°
[00:23:30] あるいは22°近くまで、え、水温上がっ
[00:23:34] てきてしまうっていうようなよ、あの、
[00:23:37] この今の段階での、ま、予想予測があり
[00:23:41] ます。
[00:23:41] なので、ま、例えばこういうのを利用しながら、あ、
[00:23:45] 1月先ぐらいまで、えっと、
[00:23:50] その、え、作業の、ま、水の見通しみたいも、ま、できるのかなということは分かります。あと何かいですか?じゃあ、続い、あ、すいません。ありがとうございました。
[00:24:09] じゃあきまして、え、
[00:24:13] よろしくお願いします。そちらか。
[00:24:15] ああ、じゃあ、あ、そっちでもだけここにあのこが入る方がいい。
[00:24:22] あ、はい。
[00:24:23] あ、じゃあじゃ、すいません。こちらで
[00:24:29] はい。すいませお願いいたします。
[00:24:31] あ、すいません。どうも皆さん、あの、よろしくお願いします。
[00:24:34] 私、あの、昨年まで幼一の事務所におり
[00:24:37] まして、で、お樽のが担当にないように
[00:24:41] やった。で、私直接と辺手の担当やった
[00:24:44] わけではないんですが、ま、事務所全体で
[00:24:48] 、え、片手の作業に関わってました。ま、
[00:24:51] その時の状況をお伝えしようと思います。
[00:24:55] 今、あの、どへのこの状況を説明して
[00:24:59] いただいたんですが、ま、大体被ぶってる
[00:25:02] ようなタイルになります。え、それと、え
[00:25:05] 、小太郎きですね、従来よりも水曜の
[00:25:08] 立ち上がりが最近2週間ぐらい早くなって
[00:25:11] ます。ということはそれだけ仮分散をやる
[00:25:14] 期間が短くなって、え、いつだったは6年
[00:25:18] 、5年か6年その辺りでもう仮分散ができ
[00:25:22] なくてもう中学まで手をかけられないで、
[00:25:26] え、ほぼほぼ本分さ、1年分にするという
[00:25:30] そういう年ももありまして、ま、これから
[00:25:33] そういう状況が多くなってくるのかなて
[00:25:35] いうようなことも感じております。で、ま
[00:25:38] 、どんなことをやっていたかと言いますと
[00:25:40] 、まずあの、先ほど説明あったように、え
[00:25:43] 、最病金の数を増やす、まず種を取れ
[00:25:46] なければしょうがないので、え、金の数を
[00:25:49] 増やして、ま、少しでもその手取り
[00:25:52] ま、種さえ手に入ればあは増やすのは、
[00:25:56] あの、業者の例なんで、まず手取りをする
[00:26:00] と、え、すると他で作業する時ですね、え
[00:26:04] 、空中露出する時間をなるべく少なく
[00:26:07] ま、あの、皆さん水をかけたりして作業は
[00:26:10] してたんですが、大体同じ場所しかかかっ
[00:26:13] てなくて、かかってない場所も当然出て
[00:26:15] くるので、そういうところをきちっとあの
[00:26:17] 確実に水をかけて乾かさないように、熱
[00:26:21] だけ当たらないように、あとは直射だと
[00:26:24] その風の基ま当たり前のことなんですが、
[00:26:27] その辺をきっちりやってもらうということ
[00:26:29] 。それで作業する時には他の方には大体奥
[00:26:35] さんがいて奥さんが知ってるんですよね。
[00:26:38] で、のり子さんと先動は沖きに、え、いる
[00:26:41] ので、お金にいる時の状態はその奥さんの
[00:26:44] 方できちっとし切ってもらうとで、奥さん
[00:26:47] の方の作業の意識、意識改革っていうか、
[00:26:51] あの、きちっと他の方もきちっとやって
[00:26:53] くれということをもう先の方からもらって
[00:26:57] 、で、もしっかりあの、このアルバイト
[00:27:01] さんですとかさってる人にも、え、
[00:27:04] きちっとその違いことを考えながら再現
[00:27:06] するという意識の改革そっちの方も
[00:27:09] きちっとやってもらってきました。え、
[00:27:12] あとは同じようにあの市種を取る時にこの
[00:27:15] タンクの中に種を入れるんですけども昔は
[00:27:19] もう発散の上から重ねて入れて下の方は
[00:27:22] もうそのまま入りっぱなしだとかそういう
[00:27:24] 状況あったんですがそれだと近い全部ダメ
[00:27:27] にしてしまう入れる量を少なくしてもう
[00:27:30] 使い切ってから次のを入れるように指導し
[00:27:33] たりですね。あと同じようにマイクロック
[00:27:36] で入れたり、そしての買の活力を保そう
[00:27:40] いった取り組み原子を空中に対して言って
[00:27:43] おりました。あとはあの同じように
[00:27:46] 23°23°
[00:27:48] に作業中止とこれはもう今決定しており
[00:27:52] ます。ま、本当に23年くらい前までは
[00:27:55] あの俺の会話24°でも大丈夫だて言って
[00:27:59] 作業をやってやっぱり次の日見に行った
[00:28:01] けど死んでねかったっていう人がいたん
[00:28:03] ですけども作業やですぐ死ぬわけじゃない
[00:28:06] んですね。そういうダメージの蓄積で2日
[00:28:10] 、3日経っても別に知らなくてもそれが1
[00:28:13] ヶ月2ヶ月。そしてあの反省も作ってきて
[00:28:17] ますしで前の年のダメージはその次の年の
[00:28:23] 反省1年半の会の影響があるというところ
[00:28:27] そういうところまで、え、有業者には
[00:28:29] しっかり理解してもらうそういった
[00:28:32] 取り組みをしておりました。えっとあとは
[00:28:36] ですね、その
[00:28:38] どうあるものと作業効率を良くするのに船
[00:28:42] を振動すると船を大きくしてやったんです
[00:28:44] ね。で、なぜ大きくするかって言うと1回
[00:28:47] に持って来れる量も多くなるし、住んで
[00:28:50] 沖きに運ぶ量も多くなる。ただ今のような
[00:28:53] 水すようにそれをやってしまうと船も安全
[00:28:56] に行く人までずっときっかぱしの階が増え
[00:28:59] てしまう。で、沖きに行ってもその潰す
[00:29:02] まで高いところの4体で潰したまんま
[00:29:05] ずっと船の上にまだ残ってるもあるなので
[00:29:08] 1日の作業量船にいくらたくさん進んでる
[00:29:11] からと言ってもそういうことをしないで
[00:29:14] しっかりあの扱える量ダメージを与えない
[00:29:18] で扱える量を作業するようにしてくれる。
[00:29:22] そういうことを言って今ではだいぶ持って
[00:29:25] くる量が少なくなってると思います。あと
[00:29:28] は水進体ですね。え、水深が大体43
[00:29:33] あるんですけども、43あるからと言って
[00:29:36] そこが冷たいっては限らないですね。え、
[00:29:39] いつかな、例えば5年、6年あたりはもう
[00:29:42] 上からそこまで24°全部24°でどこに
[00:29:45] も逃げ場がないそういう年がありました。
[00:29:48] なのでまずそのいじらないことですね。
[00:29:51] 作業をやってる時に
[00:29:54] そのいじらないともう23°超えてるよう
[00:29:59] な時にいじってしまうとうん死んでしまう
[00:30:03] 。で、やはりあのその中でも何回言っても
[00:30:06] いじれる漁業者がいるんですけどでその
[00:30:09] やっぱりいじった人の会は仕れる。それで
[00:30:13] 令和7年度、去年だから今年出しですが、
[00:30:16] 今年出しのやつは皆さん計画満度に達成し
[00:30:19] たていうことなんですけども、去年令和7
[00:30:23] 年度の時にはこちらが少の方でもう口
[00:30:27] うるさくいるもんですから令和6年時まで
[00:30:30] はいじってた人もいじらないようで今では
[00:30:33] もう皆さんおすようの時には桁をいじら
[00:30:37] ないそれを徹底するようになる
[00:30:41] は作業時間ですね。あり、あの夜の方が
[00:30:45] 水温が少しでも下がってくれるので、これ
[00:30:48] 早い人は深夜0時から出て朝6時には作業
[00:30:52] を超えています。で、遅い人でも今深夜3
[00:30:55] 時ぐらいに出て8時には作業を超えるよう
[00:30:58] にします。ちょっと前まではこういう状況
[00:31:01] じゃなくて、もっとあっかいうち、ま、
[00:31:05] 人間の都合に合わせてやってた部分がある
[00:31:07] んですけど、この早い人のやり始めた人の
[00:31:13] 結果がやっぱり1番いい回れたので、皆
