[00:00:02] ちょっと時間早いですけど皆さん揃いまし
[00:17:48] あるかもしれませんその他他に工夫みたい
[00:17:52] なのがありましたら教えて欲しいなという
[00:17:55] ふうに思います
[00:17:57] ということで私の方から以上なんですけど
[00:18:01] もなんか説明会で質問とありましたらお
[00:18:06] 願いします
[00:18:13] 4mあたりのところにも
[00:18:17] うまくその
[00:18:19] 推進体の
[00:18:21] 薬を使っていかないと
[00:18:22] [音楽]
[00:18:24] 今非常に上のところは本当に23度超えて
[00:18:28] 25°cっていうものになってきてるんで
[00:18:31] そこは施設の管理の仕方でまず持っていく
[00:18:34] つかできないのかなと
[00:18:38] 卵の方だとかあとは下げる
[00:18:41] 感覚がどんな
[00:18:45] 方での送ってきた
[00:18:52] 今はもう本当に表面だけなんですけど
[00:18:56] 例えば風邪今風も吹いてない状況で風吹い
[00:19:00] たら多分この辺は表面は少し
[00:19:03] 温度下がるんだと思うんですけど今度中層
[00:19:06] まで
[00:19:08] 暖かくなるっていう状態になると思うん
[00:19:10] ですよねでその時に表面だけ見て下がった
[00:19:14] なって言うんじゃなくてやっぱり
[00:19:16] 今の状況まだいい方だと表面だけ
[00:19:20] あったかいというのはまだいい状態
[00:19:23] 比較的粘りいいことはないんだけどまだ
[00:19:25] マシな状態で
[00:19:28] あんまり
[00:19:30] 風がないのもどうかと思うけども
[00:19:34] 風が吹いて
[00:19:36] 混ざれば中層の方まで暖かくなってくる
[00:19:38] 可能性もあるなということでやっぱりこの
[00:19:44] 水の状況っていうのをさっきの4色目の
[00:19:48] ホームページでも中層の
[00:19:51] 温度も
[00:19:53] 注目しながら作業をやってほしいなと思い
[00:19:56] ます
[00:20:05] この気温が下がらないっていうのは結構
[00:20:08] 心配なところですね
[00:20:19] 平成16年はアイドル終わった後にしない
[00:20:23] と起きたことも
[00:20:33] あと使わない提灯もしかしたらあんまり
[00:20:35] 触らずにちょっと置いておくとかね
[00:20:37] ちょっとしばらくゴミ付くかもしれない
[00:20:41] けど
[00:20:42] [音楽]
[00:20:45] 少しキープしておくっていうのも必要かも
[00:20:53] 違いのが今
[00:20:56] ピークだとは思うんですけど
[00:20:59] 音符だけ2年が3年ぐらいのポンプ分け
[00:21:03] 自体はもう
[00:21:07] ポンプ書きに使う水をそこから取ってはい
[00:21:09] ないでしょ一般的にはなかなかやっぱり
[00:21:13] 表面の水使ってってなるとほんと24度
[00:21:16] 25度の水を使ってさらにストレスをかけ
[00:21:19] てる状態になると思うので
[00:21:22] けど3Mも4mの方に遡りはないかもしれ
[00:21:26] ないダム22万あるかもしれないけど
[00:21:29] やっぱり
[00:21:33] 良くはないしあともし食いながらやってる
[00:21:35] んで当然のしの今やって作業している直前
[00:21:41] と直後は
[00:21:43] あったかいところだし下手すれば空中に
[00:21:46] 露出している可能性もある
[00:21:48] て考えるとかなりストレスを与えてるん
[00:21:52] だろうなというふうに思います
[00:22:15] 2日前から
[00:22:17] 岸壁と作業所内をするよ計ってはいるん
[00:22:20] ですけど
[00:22:21] 人によっては
[00:22:26] 違いの作業しててそこの水分
[00:22:30] 24.1
[00:22:33] これやめてください
[00:22:37] やめてもらったんですけど
[00:22:40] だいたい22度前後
[00:22:43] 作業してるところもあってそれを買うと
[00:22:46] 22°cが多いからっていう感じなので
[00:22:53] 償ってもできないんじゃっていうのは
[00:22:55] 分かるんですけどちょっと
[00:22:57] 高いのに続くんで
[00:23:00] さっき進まんっていうのはわかるんです
[00:23:02] けどちょっとまあ切り方っていう話は知っ
[00:23:07] てるんですよねこれ以上高くなるようだっ
[00:23:09] たらちょっと本当に
[00:23:12] 死んでくる違い出てくるんでやめてくださ
[00:23:15] いっていう言い方をしてるんですけど
[00:23:20] 結局
[00:23:24] 作業をしないと今度本当に
[00:23:30] 密状態になって
[00:23:32] いうのもあるしっていうところで非常に
[00:23:35] 難しいところではあるんですけど
[00:23:40] そういう風に作業してる人はいます
[00:23:49] 8時
[00:23:51] 以外は
[00:23:57] こういった状況を
[00:24:00] 踏まえつつ
[00:24:01] 作業を
[00:24:04] やる場合は当然気をつけながらということ
[00:24:08] になると思いますやらないわけにいかない
[00:24:11] というところもあるとは思うのでただ
[00:24:13] ホタテの特性としてはこういう特性があり
[00:24:16] ますというのをしっかり頭に入れつつ
[00:24:20] 増やさざるを得ない時はそれをうまく
[00:24:24] 欲しいということになるかと思います
